Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank,Cluster
IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",53.93,39.03,68.88,55.67,9.15,Nagpur,Maharashtra,48.15,82,1
IR-O-U-0055,National Institute of Technology Silchar,51.36,42.81,68.84,54.16,6.78,Silchar,Assam,48.12,83,1
IR-O-U-0474,Sathyabama Institute of Science and Technology,53.39,35.72,64.67,66.38,16.38,Chennai,Tamil Nadu,47.95,84,1
IR-O-U-0136,Gujarat University,64.84,18.62,83.31,59.33,2.77,Ahmedabad,Gujarat,47.91,85,1
IR-O-U-0691,"All India Institute of Medical Sciences, Rishikesh",70.55,29.68,49.57,69.59,9.48,Rishikesh,Uttarakhand,47.89,86,1
IR-O-U-0376,Guru Nanak Dev University,54.75,27.23,77.53,62.47,12.01,Amritsar,Punjab,47.55,87,1
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,70.37,21.34,64.97,64.61,5.01,Mumbai,Maharashtra,47.46,88,1
IR-O-U-0555,Graphic Era University,57.45,22.95,64.11,69.99,33.38,Dehradun,Uttarakhand,47.29,89,1
IR-O-U-0577,National Institute of Technology Durgapur,51.12,34.57,72.25,56.11,10.45,Durgapur,West Bengal,46.81,90,1
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,47.35,37.34,67.86,58.25,19.31,Bhubaneswar,Odisha,46.73,91,1
IR-O-U-0249,Visvesvaraya Technological University,58.85,34.69,61.46,57.77,3.53,Belgaum,Karnataka,46.48,92,1
IR-O-U-0485,Tamil Nadu Agricultural University,71.27,14.78,69.8,55.16,10.45,Coimbatore,Tamil Nadu,46.33,93,1
IR-O-U-0463,Madurai Kamaraj University,63.47,24.45,68.37,51.8,10.45,Madurai,Tamil Nadu,46.26,94,1
IR-O-U-0642,Shiv Nadar University,65.26,24.23,59.23,65.34,9.48,Gautam Buddha Nagar,Uttar Pradesh,46.18,95,1
IR-O-U-0318,Mumbai University,56.15,17.82,86.24,56.27,7.82,Mumbai,Maharashtra,45.86,96,1
IR-O-U-0389,Banasthali Vidyapith,50.45,17.72,84.22,77.31,8.15,Banasthali,Rajasthan,45.85,97,1
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,68.85,18.53,62.74,62.9,7.82,Chennai,Tamil Nadu,45.84,98,1
IR-O-S-8972,Indian Institute of Management Calcutta,60.63,14.58,63.6,66.22,38.4,Kolkata,West Bengal,45.74,99,1
IR-O-U-0217,Christ University,52.14,18.96,67.2,69.84,39.05,Bengaluru,Karnataka,45.65,100,1
