Cluster,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Score,Rank
0,71.55,61.77,84.2,63.53,54.1,68.6,12.0
1,61.82,34.7,71.6,62.0,16.08,51.08,61.96
